% Author: Mohamed Idries
% Date and Time: 25 July 2016 15:23
% Comment:
% In this trial I installed a single sonar (maxSonar EZ 1) 3m from each wall. 
% *----------------------
% |         
% |           ^
% |	      3m
% |         
% |   
% |  < 3m     X
% |
% 
% Assuming 0 degrees is pointing up and 90 degrees is pointing to the left.
% I obtained the data by slowly moving it around the fixed point from 0 degrees to 90 degrees.
% Format: Milliseconds, Sonar, AccX, AccY, AccZ, GyrX, GyrY, GyrZ
886,294,-2012,620,15308,-188,188,-143
890,294,-2076,704,15296,-192,183,-164
893,294,-2152,600,15424,-171,200,-154
898,294,-2016,616,15288,-204,200,-136
902,294,-2064,632,15384,-182,177,-173
905,294,-2064,680,15360,-186,162,-152
909,294,-2088,564,15416,-178,188,-148
912,294,-2044,568,15480,-182,190,-169
916,294,-2124,588,15308,-189,197,-147
919,294,-2120,684,15332,-183,202,-140
923,294,-2100,796,15208,-198,191,-173
926,294,-2164,776,15460,-223,205,-151
930,294,-2028,596,15276,-182,172,-148
933,294,-2160,704,15232,-193,197,-140
937,294,-2104,752,15304,-170,195,-139
941,297,-2176,608,15332,-192,176,-138
945,294,-2056,716,15364,-198,175,-153
948,294,-2104,648,15424,-198,186,-155
952,294,-2104,660,15344,-192,184,-139
955,294,-2136,620,15356,-187,203,-156
959,294,-2072,676,15312,-184,194,-138
962,294,-2120,756,15476,-190,191,-142
966,294,-2096,776,15444,-200,196,-145
969,294,-2048,664,15456,-181,212,-166
973,294,-2060,632,15284,-181,187,-154
976,294,-2120,692,15400,-172,183,-146
980,294,-2140,684,15296,-190,185,-140
985,294,-2152,624,15436,-184,209,-150
988,294,-2032,692,15312,-216,182,-137
992,297,-2164,732,15420,-179,184,-144
995,294,-2124,608,15372,-186,193,-141
999,294,-2100,644,15284,-190,181,-151
1002,294,-2184,708,15368,-169,196,-147
1006,294,-2148,692,15492,-196,178,-158
1009,294,-2060,588,15388,-174,187,-137
1013,297,-2132,716,15480,-198,194,-161
1016,294,-2044,708,15268,-190,183,-139
1020,294,-2040,592,15232,-192,188,-137
1025,297,-2144,732,15452,-177,200,-149
1028,294,-2052,748,15436,-210,192,-163
1032,294,-2124,708,15248,-182,207,-128
1035,297,-2100,660,15328,-182,196,-151
1039,294,-2148,592,15332,-200,190,-147
1042,294,-2140,736,15324,-190,179,-159
1046,294,-2184,720,15512,-191,184,-146
1050,297,-2084,644,15372,-179,184,-162
1053,299,-2148,640,15272,-186,194,-152
1057,297,-2160,680,15516,-176,185,-147
1060,297,-2020,660,15400,-195,215,-140
1064,297,-2088,724,15352,-199,186,-141
1068,297,-2200,660,15292,-184,175,-149
1072,297,-2076,748,15404,-203,189,-131
1076,297,-2112,656,15240,-184,191,-149
1079,297,-2084,648,15448,-179,198,-137
1083,297,-2064,664,15392,-199,180,-156
1086,299,-2148,580,15448,-193,196,-150
1090,297,-2036,684,15364,-188,201,-162
1093,297,-2172,720,15368,-208,184,-161
1097,299,-2128,748,15368,-178,189,-147
1101,299,-2152,692,15280,-170,197,-164
1104,297,-2192,668,15120,-188,214,-133
1108,297,-2012,680,15420,-195,182,-148
1112,297,-2128,636,15328,-185,182,-148
1116,297,-2012,724,15376,-184,182,-130
1119,297,-2204,736,15300,-199,183,-166
1123,297,-2044,652,15376,-178,214,-142
1127,297,-2148,620,15308,-201,206,-135
1130,297,-2128,684,15456,-186,178,-152
1134,299,-2148,656,15392,-173,203,-155
1137,299,-2120,680,15360,-196,203,-155
1141,299,-2172,644,15320,-174,184,-145
1145,299,-2192,624,15376,-210,198,-147
1148,299,-2156,588,15328,-199,174,-150
1153,297,-2000,628,15320,-196,206,-161
1156,294,-2088,776,15352,-203,190,-154
1160,297,-2168,652,15456,-193,190,-153
1163,297,-2176,684,15428,-190,202,-124
1167,297,-2084,560,15264,-197,206,-152
1171,297,-2084,584,15444,-185,192,-146
1174,297,-2204,616,15372,-186,179,-154
1178,297,-2148,648,15428,-180,211,-144
1181,297,-2180,736,15524,-181,196,-156
1185,297,-2100,724,15148,-192,186,-142
1188,297,-2136,684,15400,-193,187,-144
1192,299,-2048,652,15452,-197,198,-158
1197,299,-1996,600,15280,-190,207,-148
1200,297,-2108,656,15452,-177,186,-158
1204,297,-2172,644,15364,-176,191,-136
1207,297,-2176,792,15236,-188,195,-139
1211,297,-2128,664,15420,-193,182,-169
1214,297,-2140,684,15324,-190,192,-157
1218,294,-2144,656,15332,-189,173,-164
1222,297,-2096,648,15364,-189,196,-133
1225,297,-2056,724,15400,-173,190,-153
1229,297,-2112,784,15328,-189,201,-161
1232,302,-2216,588,15232,-206,196,-138
1236,297,-2172,640,15400,-181,193,-152
1240,297,-2088,604,15296,-195,192,-155
1244,297,-2060,740,15380,-175,189,-139
1248,297,-2136,664,15268,-209,216,-123
1251,297,-2128,696,15392,-193,194,-127
1255,294,-2204,764,15188,-193,206,-151
1258,294,-2132,616,15408,-192,204,-152
1262,294,-2032,644,15396,-183,204,-144
1265,294,-2148,704,15304,-194,195,-148
1269,294,-2040,676,15312,-191,180,-147
1273,294,-2088,708,15196,-189,215,-154
1276,294,-2152,652,15456,-178,190,-164
1281,294,-2092,648,15380,-181,193,-137
1284,294,-2140,740,15400,-172,191,-139
1288,294,-2124,704,15300,-184,192,-154
1291,297,-2164,720,15372,-174,190,-142
1295,294,-2144,672,15188,-191,210,-155
1299,294,-2088,604,15460,-197,178,-148
1302,297,-2112,640,15372,-179,208,-145
1306,297,-2052,612,15260,-192,202,-149
1309,297,-2200,668,15388,-209,200,-140
1313,297,-2196,668,15416,-187,220,-158
1317,297,-2032,676,15372,-205,165,-138
1320,297,-2088,564,15404,-199,193,-158
1325,297,-2164,664,15292,-181,206,-150
1328,297,-2076,676,15444,-192,187,-147
1332,297,-2212,744,15328,-197,204,-144
1335,297,-2084,628,15440,-199,190,-157
1339,297,-2064,688,15460,-170,198,-153
1343,297,-2100,608,15420,-203,187,-154
1346,297,-2172,680,15224,-176,197,-148
1350,297,-2108,656,15208,-184,191,-133
1353,297,-2152,736,15428,-194,194,-146
1357,297,-2080,744,15304,-201,194,-160
1360,297,-2028,580,15524,-193,182,-152
1364,297,-2060,644,15308,-196,198,-134
1369,297,-2124,748,15288,-186,178,-145
1372,297,-2160,744,15300,-186,180,-142
1376,297,-2084,632,15548,-180,192,-145
1379,297,-2184,712,15300,-180,190,-156
1383,299,-2084,700,15340,-177,201,-167
1386,299,-2084,656,15460,-186,215,-133
1390,299,-2120,616,15448,-182,181,-144
1394,299,-2144,696,15340,-188,181,-143
1397,299,-2040,632,15440,-178,203,-150
1401,297,-2080,624,15420,-196,189,-168
1404,297,-2104,716,15396,-185,196,-155
1409,297,-2188,684,15340,-169,175,-148
1412,297,-2092,668,15348,-194,221,-129
1416,297,-2152,620,15344,-187,200,-156
1420,297,-2040,612,15312,-195,184,-138
1423,297,-2020,724,15524,-186,185,-134
1427,297,-2140,760,15484,-177,196,-147
1430,297,-2108,684,15388,-176,195,-126
1434,299,-2212,640,15448,-179,189,-149
1437,299,-2128,692,15356,-209,181,-154
1441,299,-2020,584,15324,-194,202,-153
1445,299,-2124,684,15456,-189,203,-147
1448,299,-2136,656,15420,-186,185,-144
1453,294,-2088,620,15424,-205,212,-140
1456,294,-2044,620,15272,-203,183,-151
1460,294,-2076,676,15368,-176,201,-130
1463,294,-2040,684,15480,-179,185,-138
1467,294,-2128,684,15324,-176,215,-163
1471,294,-2176,684,15448,-189,182,-138
